site_to,name,camera,site_from,photo_id_start,photo_id_end,fixed_on_spreadsheet,xref_card,notes
,morris,,,,,,,Move als hab con
2021100302,,al,,,,,,move  
62181,dry,,,,,,,didn't puch in at first
197542,Hartley,kyle,,,,,,no pscis entry
460876,trib to liz,al,,,,,,photos fror hab con upstream in 4600761
4601687,,,,,,,,
4605584,,,,,,,,photos from als camera in 4607687
alls_morrisey,,,4602163,,,,,
4602949,,al,,,,T,,photos were from Al's camera!!! Card from Prince
50068,,al,,,,T,,
4606967,,,,,,,,
4607464,,,,,,,,These photos were also on Kyles camera
falls_lodgepole,,,,,,,,
falls_morrissey,,,,,,,,
62181,,al,4605540,IMG_6751,IMG_6762,,,
4603653,,kyle,4607022,TC_02278,TC_02284,,,
4605514,,al,4607464,IMG_7055,IMG_7067,,,
4602949,,al,4607464,IMG_7068,IMG_7072,,,
50067,,al,4601687,IMG_6826,IMG_6834,,,
